Date,Open,High,Low,Close,Adj Close,Volume
2010-12-01,109.919998,110.739998,109.879997,110.620003,89.627510,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,90.794258,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,91.021126,184100
2010-12-06,112.160004,112.419998,112.000000,112.199997,90.907707,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,90.940125,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,91.312813,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,91.653107,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,92.204063,73950
2010-12-13,114.320000,114.440002,113.820000,113.860001,92.252686,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,92.301285,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,91.896187,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,92.430939,60600
2010-12-17,114.000000,114.339996,113.820000,114.239998,92.560562,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,92.755035,72600
2010-12-21,114.860001,115.300003,114.779999,115.180000,93.322174,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,93.662506,108250
2010-12-23,115.440002,115.519997,115.160004,115.419998,93.516602,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,93.586624,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,93.684296,56650
2010-12-29,115.320000,115.440002,115.199997,115.199997,93.765686,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,93.619179,78900
2010-12-31,114.860001,115.139999,114.680000,115.139999,93.716896,145750
2011-01-03,115.940002,116.660004,115.900002,116.220001,94.595924,119200
2011-01-04,116.559998,116.559998,115.500000,116.120003,94.514526,108350
2011-01-05,115.860001,116.800003,115.720001,116.739998,95.019150,717750
2011-01-06,116.839996,116.919998,116.220001,116.540001,94.856369,72450
2011-01-07,116.699997,116.860001,115.480003,116.300003,94.661018,82250
2011-01-10,115.879997,116.279999,115.480003,116.199997,94.579628,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,94.888939,131700
2011-01-12,117.320000,117.720001,117.099998,117.620003,95.735443,107350
2011-01-13,117.680000,117.739998,117.160004,117.459999,95.605225,96050
2011-01-14,117.300003,118.339996,117.260002,118.300003,96.288910,193400
2011-01-18,118.260002,118.580002,118.040001,118.500000,96.451698,194900
2011-01-19,118.440002,118.500000,117.019997,117.320000,95.491264,111950
2011-01-20,117.080002,117.379997,116.320000,117.180000,95.377296,103450
2011-01-21,117.900002,118.139999,117.320000,117.440002,95.588921,117950
